name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"gpt35-german-2","","","","0","GPT35-German-2","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.8666666666666666","0.8","1.2","maria|arthur","3.2","2","2023","2023","4","5","2","3","0","0","1","8","2023","11","","0","1749","1153","536","52","0"
"gpt35-german-3","","","","0","GPT35-German-3","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.9","0.9","1.1","beatrix|dieter|elisabeth","3.6","2","2023","2023","4","5","2","3","0","0","1","9","2023","5","","0","1715","883","873","53","0"
"gpt35-german-4","","","","0","GPT35-German-4","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8","1.2","prinz-ferdinand|louisa","4","2","2023","2023","5","6","2","4","0","0","1","12","2023","5","","0","1599","789","797","46","0"
"gpt35-german-5","","","","0","GPT35-German-5","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.6","0.6","1.4","karl","2.4","2","2023","2023","4","5","0","5","0","0","1","6","2023","5","","0","1559","1082","417","44","0"
"gpt35-german-6","","","","0","GPT35-German-6","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.9285714285714286","0.8928571428571429","1.1071428571428572","several characters","6.25","2","2023","2023","7","8","3","4","0","0","1","25","2023","5","","0","1204","770","470","62","0"
"gpt35-german-7","","","","0","GPT35-German-7","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.8666666666666666","0.8","1.2","dienerin|graefen","3.2","2","2023","2023","4","5","3","1","1","0","1","8","2023","5","","0","1546","975","784","29","0"
"gpt35-german-8","","","","0","GPT35-German-8","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.7","0.7","1.3","wolfgang-von-hartenstein","2.8","2","2023","2023","4","5","2","4","0","0","1","7","2023","7","","0","1357","959","158","37","0"
"gpt35-german-9","","","","0","GPT35-German-9","","","ENTER SOURCE URL HERE","","","","","2023","5","false","1","1","1","several characters","4","1","2023","2023","4","5","1","2","2","0","1","10","2023","1","","0","1885","1734","90","50","0"
"gpt35-russian-1","","","","0","GPT35-Russian-1","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.8055555555555555","0.6666666666666666","1.3333333333333333","andrej","3.3333333333333335","2","2023","2023","5","6","0","0","0","0","1","10","2023","5","","0","888","686","254","30","0"
"gpt35-russian-10","","","","0","Вихрь страданий (Whirlwind of Sorrows)","","","","","","","","","14","false","0.8310090702947844","0.3626373626373626","1.7692307692307692","pyotr","4.714285714285714","3","","","10","14","5","8","0","0","1","33","","6","","4","920","638","303","35","0"
"gpt35-russian-2","","","","0","Ведомый Судьбой (Driven by Fate)","","","","","","","","","8","false","0.7535714285714286","0.5714285714285714","1.4285714285714286","vera:","4","2","","","7","8","0","8","0","0","1","16","","4","","0","1004","770","375","34","0"
"gpt35-russian-3","","","","0","GPT35-Russian-3","","","","","","","","","9","false","0.8682539682539682","0.6944444444444444","1.3055555555555556","antonъ|marъjana","5.555555555555555","2","","","8","9","4","5","0","0","1","25","","5","","0","927","774","376","39","0"
"gpt35-russian-4","","","","0","GPT35-Russian-4","","","","","","","","","6","false","0.7000000000000001","0.4666666666666667","1.5333333333333334","rabotnyk","2.3333333333333335","2","","","5","6","2","4","0","0","1","7","","5","","0","1033","960","277","37","0"
"gpt35-russian-5","","","","0","GPT35-Russian-5","","","","","","","","","4","false","0","0.3333333333333333","1.3333333333333333","anna","1","2","","","2","4","1","3","0","0","2","2","","35","","0","883","680","221","37","0"
"gpt35-russian-6","","","","0","GPT35-Russian-6","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.3095238095238096","0.3333333333333333","1.9523809523809523","zverev","2","3","2023","2023","4","7","0","0","0","0","1","7","2023","11","","0","969","768","181","29","0"
"gpt35-russian-7","","","","0","GPT35-Russian-7","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.3375","0.35714285714285715","1.75","zana","2.5","3","2023","2023","6","8","0","0","0","0","1","10","2023","5","","0","1005","663","336","29","0"
"gpt35-russian-8","","","","0","GPT35-Russian-8","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.3333333333333333","0.19047619047619047","1.3333333333333333","sergei","1.1428571428571428","2","2023","2023","3","7","0","0","0","0","4","4","2023","24","","0","1020","588","386","22","0"
"gpt35-russian-9","","","","0","GPT35-Russian-9","","","ENTER SOURCE URL HERE","","","","","2023","11","false","0.892929292929293","0.3090909090909091","1.690909090909091","fedor","3.090909090909091","2","2023","2023","10","11","0","0","0","0","1","17","2023","5","","0","990","668","403","30","0"
